,no_of_skills,python,sql,machine.learning,r,hadoop,tableau,sas,spark,java,other_skills,skills,ca,ny,va,tx,ma,il,wa,md,dc,nc,other_states,state,industry,consulting.and.business.services,internet.and.software,banks.and.financial.services,health.care,insurance,other_industries,job title,data_analyst,data_engineer,data_scientist,company ,no_of_reviews,no_of_stars,revenue_$1bto$5b,revenue_$5bto$10b,revenue<$1b,"""revenue>$10b",revenue_na,employees>10k,employees<10k,employees_na
"[1] ""salary""",3,0,1,1,1,0,0,0,0,0,0,"SQL, Machine Learning, R",0,0,0,0,1,0,0,0,0,0,0,Massachusetts,Internet & Software,0,1,0,0,0,0,Data analyst,1,0,0,Hubspot ,45,4.4,0,0,1,0,0,0,1,0
"[2] ""no_of_skills""",5,1,1,1,1,0,1,0,0,0,0,"Python, SQL, Machine Learning, R, Tableau",0,1,0,0,0,0,0,0,0,0,0,New York,Consulting & business services,1,0,0,0,0,0,Data analyst,1,0,0,Bain,136,4.3,1,0,0,0,0,1,0,0
"[3] ""no_of_reviews""",6,1,1,1,1,0,1,0,0,0,1,"Python, SQL, Machine Learning, R, Tableau, Salesforce",0,0,0,0,0,0,1,0,0,0,0,Washington,Internet & Software,0,1,0,0,0,0,Data scientist,0,0,1,Microsoft,6800,4.2,0,0,0,1,0,1,0,0
"[4] ""no_of_stars""",5,1,1,1,1,0,1,0,0,0,0,"Python, SQL, Machine Learning, R, Tableau",0,1,0,0,0,0,0,0,0,0,0,New York,Consulting & business services,1,0,0,0,0,0,Data analyst,1,0,0,Deloitte,9400,4,0,0,0,1,0,1,0,0
"[5] ""python""",5,1,1,1,1,0,1,0,0,0,0,"Python, SQL, Machine Learning, R, Tableau",0,0,0,0,0,0,1,0,0,0,0,Washington,Consulting & business services,1,0,0,0,0,0,Data analyst,1,0,0,Amazon,60800,3.6,0,0,0,1,0,1,0,0
"[6] ""sql""",4,1,0,1,1,0,0,0,0,0,1,"Python, R, Machine Learning, Java",1,0,0,0,0,0,0,0,0,0,0,California,Internet & Software,0,1,0,0,0,0,Data scientist,0,0,1,Microsoft,6800,4.2,0,0,0,1,0,1,0,0
"[7] ""machine.learning""",1,1,0,0,0,0,0,0,0,0,0,Python,0,1,0,0,0,0,0,0,0,0,0,New York,Consulting & business services,1,0,0,0,0,0,Data engineer,0,1,0,Bloomberg,797,3.9,0,1,0,0,0,1,0,0
"[8] ""r""",4,1,1,0,1,0,1,0,0,0,0,"Python, SQL, R, Tableau",0,0,0,0,0,0,0,0,0,0,1,Pennsylvania,Marketing,0,0,0,0,0,1,Data analyst,1,0,0,PwC,7600,4,0,0,0,1,0,1,0,0
"[9] ""hadoop""",5,1,1,1,1,0,1,0,0,0,0,"Python, SQL, R, Machine Learning, Tableau",0,1,0,0,0,0,0,0,0,0,0,New York,Consulting & business services,1,0,0,0,0,0,Data analyst,1,0,0,NA,0,0,0,0,0,0,1,0,0,1
"[10] ""tableau""",6,1,1,1,1,0,0,0,0,1,1,"Python, SQL, R, Machine Learning, Java",0,0,0,0,0,0,0,0,1,0,0,"Washington, DC",Internet & Software,0,1,0,0,0,0,Data scientist,0,0,1,Honeywell,8600,3.8,0,0,1,0,0,1,0,0
"[11] ""sas""",5,1,1,1,1,0,1,0,0,0,0,"Python, SQL, R, Machine Learning, Tableau",0,1,0,0,0,0,0,0,0,0,0,New York,Consulting & business services,1,0,0,0,0,0,Data analyst,1,0,0,Amazon,60800,3.6,0,0,0,1,0,1,0,0
"[12] ""spark""",7,1,1,1,1,1,1,1,0,0,0,"Python, SQL, R, Machine Learning, Hadoop, Tableau, SAS",1,0,0,0,0,0,0,0,0,0,0,California,Insurance,0,0,0,0,1,0,Data scientist,0,0,1,Amazon,60800,3.6,0,0,0,1,0,1,0,0
"[13] ""java""",4,1,1,1,1,0,0,0,0,0,0,"Python, SQL, R, Machine Learning",0,0,0,0,1,0,0,0,0,0,0,Massachusetts,Consulting & business services,1,0,0,0,0,0,Data analyst,1,0,0,NA,0,0,0,0,0,0,1,0,0,1
"[14] ""other_skills""",6,1,1,1,1,0,1,0,0,1,0,"Python, SQL, R, Machine Learning, Tableau, Java",0,0,0,0,1,0,0,0,0,0,0,Massachusetts,Healthcare,0,0,0,1,0,0,Data analyst,1,0,0,Accenture,19500,4,0,0,0,1,0,0,0,0
